TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
RPAD3;7,50;0,12;7,37;0,62;0,61;;;;8,59;6,50;-1,74;-0,13;;4,94;-0,70;35,00;8,43;8,34;6,70;0,99;0,01;0,00;;20,49;1.022,73;12,08;1,02;-0,04;608.820.984,34
RPAD5;6,82;8,37;6,70;0,56;0,56;;;;7,81;6,50;-1,74;-0,13;;4,49;-0,64;35,00;8,43;8,34;6,70;0,99;0,01;0,00;;20,49;4.516,35;12,08;1,02;-0,04;608.820.984,34
RPAD6;6,50;0,16;6,38;0,54;0,53;;;;7,45;6,50;-1,74;-0,13;;4,28;-0,61;35,00;8,43;8,34;6,70;0,99;0,01;0,00;;20,49;260,00;12,08;1,02;-0,04;608.820.984,34
RPMG3;1,87;;-0,08;-0,02;0,01;-14,43;-20,96;-19,19;-0,07;-0,04;0,03;;0,01;-0,04;-0,27;0,76;-22,32;-16,12;24,36;-0,72;1,72;0,84;42,58;;20.311,75;-109,81;-24,51;0,00;126.583.346,23
RSID3;1,60;;0,39;-0,04;0,07;18,63;33,41;53,86;0,64;8,11;7,48;;0,21;-0,28;-0,12;0,59;-10,46;18,37;-8,69;-1,76;2,76;0,34;19,21;;1.861,64;-38,77;4,05;-0,01;32.435.526,40
RSUL3;0,00;;0,00;0,00;0,00;41,67;23,40;14,96;0,00;1,36;-0,30;-0,10;0,00;0,00;0,00;3,22;21,84;13,44;9,33;0,62;0,38;0,90;16,58;;;47,32;10,34;0,00;163.112.858,25
RSUL4;65,37;;6,32;1,38;0,85;41,67;23,40;14,96;4,04;1,36;-0,30;-0,10;0,95;2,17;-1,97;3,22;21,84;13,44;9,33;0,62;0,38;0,90;16,58;;353.524,52;47,32;10,34;0,90;163.112.858,25
SANB11;27,16;8,50;7,79;0,81;0,08;35,45;10,12;7,87;6,05;6,05;;;0,61;-1,24;-0,08;0,23;10,34;1,01;;0,10;0,90;0,13;20,95;-0,57;67.799.097,29;33,71;3,49;-2,65;101.830.051.672,58
SANB3;13,23;8,31;7,59;0,78;0,08;35,45;10,12;7,87;5,90;6,05;;;0,60;-1,20;-0,08;0,23;10,34;1,01;;0,10;0,90;0,13;20,95;-0,57;1.199.827,95;16,86;1,74;-2,58;101.830.051.672,58
SANB4;14,19;8,52;8,14;0,84;0,08;35,45;10,12;7,87;6,33;6,05;;;0,64;-1,29;-0,08;0,23;10,34;1,01;;0,10;0,90;0,13;20,95;-0,57;1.416.098,10;16,86;1,74;-2,77;101.830.051.672,58
SAPR11;37,94;5,17;9,37;0,90;0,43;57,82;27,82;16,66;5,61;6,55;0,94;0,15;1,56;21,45;-0,58;1,08;9,64;4,56;7,59;0,47;0,53;0,27;8,47;4,21;47.627.450,14;42,02;4,05;-0,19;11.467.027.478,17
SAPR3;8,50;4,27;10,49;1,01;0,48;57,82;27,82;16,66;6,28;6,55;0,94;0,15;1,75;24,03;-0,65;1,08;9,64;4,56;7,59;0,47;0,53;0,27;8,47;4,21;1.215.767,86;8,40;0,81;-0,22;11.467.027.478,17
SAPR4;7,41;5,39;9,15;0,88;0,42;57,82;27,82;16,66;5,48;6,55;0,94;0,15;1,52;20,95;-0,57;1,08;9,64;4,56;7,59;0,47;0,53;0,27;8,47;4,21;8.651.240,15;8,40;0,81;-0,19;11.467.027.478,17
SAUD3;13,56;5,63;70,18;27,69;18,66;34,83;30,64;23,09;52,89;52,19;-0,70;-0,37;16,20;437,37;-27,11;1,16;39,45;26,59;19,06;0,67;0,32;1,15;6,51;9,36;66.218.974,46;0,49;0,19;143,80;39.652.148.352,36
SBFG3;11,44;4,75;7,88;0,85;0,29;48,56;6,85;4,20;4,83;9,75;4,92;0,87;0,33;2,07;-0,57;1,39;10,84;3,67;8,17;0,34;0,66;0,87;26,30;;24.473.250,43;13,39;1,45;-0,19;2.638.796.091,36
SBSP3;27,95;4,87;11,29;2,25;0,84;36,58;33,15;22,03;7,50;9,97;2,47;0,74;2,49;8,93;-1,09;1,74;19,97;7,48;7,32;0,37;0,62;0,34;16,44;55,08;448.354.042,95;12,40;2,48;-0,77;98.510.725.998,75
SCAR3;13,60;52,21;17,52;0,76;0,28;46,94;18,55;15,76;14,88;23,68;8,79;0,45;2,76;5,99;-0,34;1,36;4,32;1,59;1,84;0,37;0,64;0,10;-2,45;-12,49;779.911,38;17,99;0,78;-0,07;785.227.538,40
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;11,63;4,11;6,07;1,06;0,42;59,66;20,61;10,91;3,21;4,06;0,84;0,28;0,66;3,37;-0,64;1,56;17,40;6,91;19,39;0,40;0,60;0,63;12,13;8,37;12.626.806,70;11,01;1,92;0,02;1.497.031.742,80
SEQL3;0,12;;-3,72;-4,11;1,00;6,82;-4,67;-34,10;-27,18;-38,18;-10,99;;1,27;-3,10;-1,26;0,39;-110,33;-26,86;-77,35;-0,24;1,24;0,79;-9,89;;170.397,30;-0,03;-0,03;0,05;752.764.018,08
SGPS3;1,64;;-0,03;-0,02;0,01;4,26;-86,62;-139,61;-0,04;-2,72;-2,68;;0,04;-0,01;-0,01;0,25;-64,46;-26,55;-303,18;-0,41;1,41;0,19;-20,94;;;-95,16;-61,34;0,00;16.400.000,00
SHOW3;5,72;;-0,89;0,39;0,12;28,06;-8,81;-22,80;-2,29;-0,60;1,69;-0,28;0,20;1,03;-0,25;1,30;-43,49;-13,74;-13,15;0,32;0,68;0,60;35,22;;126.938,35;14,86;-6,46;0,02;38.560.018,64
